State,Year,Quarter,Transaction_Type,Transaction_Count,Transaction_Amount
andhra-pradesh,2020,1,Peer-to-peer payments,65452143,223088554055.04755
andhra-pradesh,2020,1,Merchant payments,31408022,18603161784.496994
andhra-pradesh,2020,1,Recharge & bill payments,30449644,10813530777.973532
andhra-pradesh,2020,1,Financial Services,75238,43739133.169823855
andhra-pradesh,2020,1,Others,292310,188228538.37489766
andhra-pradesh,2020,2,Peer-to-peer payments,73609921,262731724130.7907
andhra-pradesh,2020,2,Recharge & bill payments,41013987,16991006436.573467
andhra-pradesh,2020,2,Merchant payments,29976765,22625596525.44269
andhra-pradesh,2020,2,Financial Services,140941,145274999.15679634
andhra-pradesh,2020,2,Others,176241,90087654.60009979
andhra-pradesh,2020,3,Peer-to-peer payments,106791894,406461788252.32056
andhra-pradesh,2020,3,Merchant payments,54055557,40739580213.86052
andhra-pradesh,2020,3,Recharge & bill payments,43500067,19475104674.827175
andhra-pradesh,2020,3,Financial Services,243088,256074924.7187529
andhra-pradesh,2020,3,Others,312329,151582519.18136686
andhra-pradesh,2020,4,Peer-to-peer payments,152003791,566639138543.7708
andhra-pradesh,2020,4,Merchant payments,86581460,66654048149.95168
andhra-pradesh,2020,4,Recharge & bill payments,46810304,20936337211.557747
andhra-pradesh,2020,4,Financial Services,265470,305168772.45601684
andhra-pradesh,2020,4,Others,457527,306853355.59473807
andhra-pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0018
andhra-pradesh,2021,1,Merchant payments,97920281,70813192713.43477
andhra-pradesh,2021,1,Recharge & bill payments,41940689,20546424964.14482
andhra-pradesh,2021,1,Financial Services,225355,270313028.48452014
andhra-pradesh,2021,1,Others,347907,272546457.5502677
andhra-pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.439
andhra-pradesh,2021,2,Merchant payments,112875274,88512429436.91248
andhra-pradesh,2021,2,Recharge & bill payments,49626902,24646800345.106976
andhra-pradesh,2021,2,Financial Services,243237,265483044.40124667
andhra-pradesh,2021,2,Others,406842,308302224.3856007
andhra-pradesh,2021,3,Peer-to-peer payments,221280317,837841124664.307
andhra-pradesh,2021,3,Merchant payments,158290953,118164377968.16754
andhra-pradesh,2021,3,Recharge & bill payments,51702350,27511344958.24361
andhra-pradesh,2021,3,Financial Services,211171,297239697.83073866
andhra-pradesh,2021,3,Others,547759,403948275.56756073
andhra-pradesh,2021,4,Peer-to-peer payments,262006450,971269765249.1282
andhra-pradesh,2021,4,Merchant payments,207538904,152883933596.5386
andhra-pradesh,2021,4,Recharge & bill payments,51762842,31232784713.985794
andhra-pradesh,2021,4,Financial Services,243951,332740108.6635881
andhra-pradesh,2021,4,Others,701856,545223415.6638832
andhra-pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.4781
andhra-pradesh,2022,1,Merchant payments,242031836,169419685917.19562
andhra-pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83001
andhra-pradesh,2022,1,Financial Services,231651,324358965.11859065
andhra-pradesh,2022,1,Others,627694,474382234.25397474
andhra-pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.7114
andhra-pradesh,2022,2,Merchant payments,292530048,205433660654.20898
andhra-pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06145
andhra-pradesh,2022,2,Financial Services,192751,245783011.04455262
andhra-pradesh,2022,2,Others,441925,357036084.9071137
andhra-pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.7397
andhra-pradesh,2022,3,Merchant payments,291033653,202910820650.0824
andhra-pradesh,2022,3,Recharge & bill payments,52467708,41438764826.20322
andhra-pradesh,2022,3,Financial Services,187190,239347241.54655045
andhra-pradesh,2022,3,Others,362484,323951101.5715289
andhra-pradesh,2022,4,Merchant payments,321632104,211898851397.09848
andhra-pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.0112
andhra-pradesh,2022,4,Recharge & bill payments,52098850,41986837706.47902
andhra-pradesh,2022,4,Financial Services,206459,250596592.06465048
andhra-pradesh,2022,4,Others,345658,339211363.0027188
arunachal-pradesh,2018,1,Recharge & bill payments,28729,5184132.514934338
arunachal-pradesh,2018,1,Peer-to-peer payments,13320,82889682.72418305
arunachal-pradesh,2018,1,Merchant payments,1042,2420374.1905855755
arunachal-pradesh,2018,1,Financial Services,416,58893.76201533088
arunachal-pradesh,2018,1,Others,1990,1834252.8176908877
arunachal-pradesh,2018,2,Recharge & bill payments,50700,10468878.537107183
arunachal-pradesh,2018,2,Peer-to-peer payments,26477,181576281.19464755
arunachal-pradesh,2018,2,Merchant payments,2378,4718953.439561011
arunachal-pradesh,2018,2,Financial Services,559,363761.80159549194
arunachal-pradesh,2018,2,Others,2043,1842317.3691352482
arunachal-pradesh,2018,3,Recharge & bill payments,74122,15997565.906016497
arunachal-pradesh,2018,3,Peer-to-peer payments,49740,308106303.45342577
arunachal-pradesh,2018,3,Merchant payments,4738,5505694.567913429
arunachal-pradesh,2018,3,Financial Services,507,72133.845254878
arunachal-pradesh,2018,3,Others,2039,2044708.9687807972
arunachal-pradesh,2018,4,Recharge & bill payments,97751,20662691.882313278
arunachal-pradesh,2018,4,Peer-to-peer payments,68169,468831493.2328036
arunachal-pradesh,2018,4,Merchant payments,7726,11998974.1040326
arunachal-pradesh,2018,4,Financial Services,561,100597.90379906222
arunachal-pradesh,2018,4,Others,2222,2446271.9688117937
arunachal-pradesh,2019,1,Recharge & bill payments,121303,26796894.998233315
arunachal-pradesh,2019,1,Peer-to-peer payments,93494,568554821.4456317
arunachal-pradesh,2019,1,Merchant payments,9214,11727218.401334248
arunachal-pradesh,2019,1,Financial Services,256,140622.87093631705
arunachal-pradesh,2019,1,Others,2239,2730548.5978140826
arunachal-pradesh,2019,2,Recharge & bill payments,131988,30420803.41271234
arunachal-pradesh,2019,2,Peer-to-peer payments,106527,704237943.4054435
arunachal-pradesh,2019,2,Merchant payments,16828,13955724.130712911
arunachal-pradesh,2019,2,Financial Services,267,160660.8821362781
arunachal-pradesh,2019,2,Others,3046,3880742.524023137
arunachal-pradesh,2019,3,Recharge & bill payments,216228,50946104.94289842
arunachal-pradesh,2019,3,Peer-to-peer payments,133484,841037395.2474606
arunachal-pradesh,2019,3,Merchant payments,16900,17178248.07427002
arunachal-pradesh,2019,3,Financial Services,864,64089.11350267195
arunachal-pradesh,2019,3,Others,2758,3419197.4177385764
arunachal-pradesh,2019,4,Recharge & bill payments,259183,63516906.09060433
arunachal-pradesh,2019,4,Peer-to-peer payments,177833,1100137447.9340453
arunachal-pradesh,2019,4,Merchant payments,19769,23192271.691576812
arunachal-pradesh,2019,4,Financial Services,314,305379.7987782319
arunachal-pradesh,2019,4,Others,2376,3421174.01227797
arunachal-pradesh,2020,1,Recharge & bill payments,329834,86011654.77474582
arunachal-pradesh,2020,1,Peer-to-peer payments,203429,1263912288.4066367
arunachal-pradesh,2020,1,Merchant payments,31181,28553052.133918796
arunachal-pradesh,2020,1,Financial Services,470,337812.94816169393
arunachal-pradesh,2020,1,Others,2261,2943873.0666838237
arunachal-pradesh,2020,2,Recharge & bill payments,522495,145198528.22961134
arunachal-pradesh,2020,2,Peer-to-peer payments,247861,1630654426.0441835
arunachal-pradesh,2020,2,Merchant payments,35169,46446966.612447515
arunachal-pradesh,2020,2,Financial Services,1310,2655507.6964110374
arunachal-pradesh,2020,2,Others,1939,1761404.4023099935
arunachal-pradesh,2020,3,Recharge & bill payments,514907,153463816.21184397
arunachal-pradesh,2020,3,Peer-to-peer payments,370418,2361603431.37578
arunachal-pradesh,2020,3,Merchant payments,72736,88145178.69272713
arunachal-pradesh,2020,3,Financial Services,1761,4030599.9171272423
arunachal-pradesh,2020,3,Others,3005,2695539.3607389224
arunachal-pradesh,2020,4,Peer-to-peer payments,522019,3254744938.4105625
arunachal-pradesh,2020,4,Recharge & bill payments,513895,152389181.21743062
arunachal-pradesh,2020,4,Merchant payments,167387,156682926.02384603
arunachal-pradesh,2020,4,Financial Services,1749,2391651.8783250954
arunachal-pradesh,2020,4,Others,4079,4055324.315454754
arunachal-pradesh,2021,1,Peer-to-peer payments,566209,3460488558.9436507
arunachal-pradesh,2021,1,Recharge & bill payments,450649,142358376.9003836
arunachal-pradesh,2021,1,Merchant payments,155966,204958020.0891498
arunachal-pradesh,2021,1,Financial Services,1558,2672460.4740365944
arunachal-pradesh,2021,1,Others,3074,3301662.6094231335
arunachal-pradesh,2021,2,Peer-to-peer payments,762946,4000960152.0755496
arunachal-pradesh,2021,2,Recharge & bill payments,556680,165579844.25105897
arunachal-pradesh,2021,2,Merchant payments,243375,283709438.5363142
arunachal-pradesh,2021,2,Financial Services,1582,2761076.7934988844
arunachal-pradesh,2021,2,Others,3755,3415105.3379601175
arunachal-pradesh,2021,3,Peer-to-peer payments,986088,5033603845.032885
arunachal-pradesh,2021,3,Recharge & bill payments,600102,187390578.30403775
arunachal-pradesh,2021,3,Merchant payments,314658,449869060.7842621
arunachal-pradesh,2021,3,Financial Services,1934,3348547.8272713376
arunachal-pradesh,2021,3,Others,4185,3912143.3503634185
arunachal-pradesh,2021,4,Peer-to-peer payments,1227616,6022733378.120082
arunachal-pradesh,2021,4,Recharge & bill payments,633248,207784816.33218512
arunachal-pradesh,2021,4,Merchant payments,521447,704195694.9939187
arunachal-pradesh,2021,4,Financial Services,2386,3933557.2795471298
arunachal-pradesh,2021,4,Others,5901,4862905.885615055
arunachal-pradesh,2022,1,Peer-to-peer payments,1403584,6670641250.45945
arunachal-pradesh,2022,1,Merchant payments,720803,917155358.7177179
arunachal-pradesh,2022,1,Recharge & bill payments,670576,231933129.00412333
arunachal-pradesh,2022,1,Financial Services,3053,3359625.792926075
arunachal-pradesh,2022,1,Others,6052,5002264.113148138
arunachal-pradesh,2022,2,Peer-to-peer payments,1751568,7627061474.687715
arunachal-pradesh,2022,2,Merchant payments,1108353,1255513517.3639429
arunachal-pradesh,2022,2,Recharge & bill payments,688770,241162643.19480157
arunachal-pradesh,2022,2,Financial Services,2466,4063469.0998270046
arunachal-pradesh,2022,2,Others,5768,3864269.879579009
arunachal-pradesh,2022,3,Peer-to-peer payments,1967086,7365427284.274204
arunachal-pradesh,2022,3,Merchant payments,1316326,1413247143.4889917
arunachal-pradesh,2022,3,Recharge & bill payments,649322,238448083.80779752
arunachal-pradesh,2022,3,Financial Services,1997,4763324.776043448
arunachal-pradesh,2022,3,Others,4687,3224948.7015704075
arunachal-pradesh,2022,4,Peer-to-peer payments,2251135,7768088687.67791
arunachal-pradesh,2022,4,Merchant payments,1704968,1669602212.9174638
arunachal-pradesh,2022,4,Recharge & bill payments,669151,239412553.61214688
arunachal-pradesh,2022,4,Financial Services,2617,3785469.3993366556
arunachal-pradesh,2022,4,Others,4838,4020773.8953960314
assam,2018,1,Recharge & bill payments,632092,93491181.14056379
assam,2018,1,Peer-to-peer payments,318025,993525195.9818655
assam,2018,1,Merchant payments,40482,34501622.89266755
assam,2018,1,Financial Services,18172,4936862.200688562
assam,2018,1,Others,48110,31349593.99668264
assam,2018,2,Recharge & bill payments,984160,174427478.21340805
assam,2018,2,Peer-to-peer payments,530781,2064314053.1339972
assam,2018,2,Merchant payments,79307,73366344.80739225
assam,2018,2,Financial Services,22773,7051504.657611102
assam,2018,2,Others,46852,31425754.725386057
assam,2018,3,Recharge & bill payments,1275136,254569069.32411742
assam,2018,3,Peer-to-peer payments,843571,3424136709.5088205
assam,2018,3,Merchant payments,159532,96783839.37466942
assam,2018,3,Financial Services,22677,4741123.821880115
assam,2018,3,Others,50935,30904247.884785894
assam,2018,4,Recharge & bill payments,1703488,317661277.3470997
assam,2018,4,Peer-to-peer payments,1279089,5284776455.070784
assam,2018,4,Merchant payments,667293,240563395.2777939
assam,2018,4,Financial Services,28035,6331912.52655252
assam,2018,4,Others,56267,38689818.79087821
assam,2019,1,Recharge & bill payments,1993220,400281677.94382846
assam,2019,1,Peer-to-peer payments,1976310,7291433300.700247
assam,2019,1,Merchant payments,494871,266644645.74929428
assam,2019,1,Financial Services,20162,4612454.1127945455
assam,2019,1,Others,48442,39127457.944687635
assam,2019,2,Recharge & bill payments,2512932,539315772.8606573
assam,2019,2,Peer-to-peer payments,2293770,10035232820.852964
assam,2019,2,Merchant payments,573646,326844709.5879724
assam,2019,2,Financial Services,13654,4037222.414240564
assam,2019,2,Others,60927,49538663.41037582
assam,2019,3,Peer-to-peer payments,2713539,11835800855.176552
assam,2019,3,Recharge & bill payments,2645302,639885372.7480905
assam,2019,3,Merchant payments,513728,421380275.4207429
assam,2019,3,Financial Services,8606,6403456.344768786
assam,2019,3,Others,61396,46973660.73634353
assam,2019,4,Peer-to-peer payments,3222143,14083346879.361855
assam,2019,4,Recharge & bill payments,2937800,704118873.972094
assam,2019,4,Merchant payments,544053,456318130.082201
assam,2019,4,Financial Services,9621,3492255.0860687294
assam,2019,4,Others,46893,34707757.009855896
assam,2020,1,Peer-to-peer payments,4058740,18977446151.768826
assam,2020,1,Recharge & bill payments,3897975,971722606.1579468
assam,2020,1,Merchant payments,792646,675423852.9512749
assam,2020,1,Financial Services,10173,7054325.507515656
assam,2020,1,Others,49326,36781411.34368035
assam,2020,2,Recharge & bill payments,6045321,1612522828.7163475
assam,2020,2,Peer-to-peer payments,3648386,17358374071.26616
assam,2020,2,Merchant payments,742400,749018053.2400584
assam,2020,2,Financial Services,19814,18130004.687672265
assam,2020,2,Others,49278,28255168.009208795
assam,2020,3,Peer-to-peer payments,5637893,26646565777.43919
assam,2020,3,Recharge & bill payments,5292154,1627282415.9451878
assam,2020,3,Merchant payments,1383230,1492484153.3873158
assam,2020,3,Financial Services,24954,28452966.026372254
assam,2020,3,Others,59480,36605946.74600269
assam,2020,4,Peer-to-peer payments,7538478,36013292450.814384
assam,2020,4,Recharge & bill payments,5383505,1662189124.4177454
assam,2020,4,Merchant payments,2392184,2466913305.59039
assam,2020,4,Financial Services,29764,32314809.975261033
assam,2020,4,Others,79523,51901628.46643049
assam,2021,1,Peer-to-peer payments,9449096,45476079487.10464
assam,2021,1,Recharge & bill payments,6494111,2103017761.546533
assam,2021,1,Merchant payments,3459132,3657261586.2001615
assam,2021,1,Financial Services,34049,41291047.3832124
assam,2021,1,Others,75672,48814663.88782827
assam,2021,2,Peer-to-peer payments,11668399,51521387890.61253
assam,2021,2,Recharge & bill payments,9058005,2657676415.2458973
assam,2021,2,Merchant payments,4562669,4914753140.040101
assam,2021,2,Financial Services,49671,46106001.498141706
assam,2021,2,Others,94161,52549929.267157935
assam,2021,3,Peer-to-peer payments,15617592,64131823895.235466
assam,2021,3,Recharge & bill payments,10284267,3248364164.1984267
assam,2021,3,Merchant payments,7431371,8208706348.034584
assam,2021,3,Financial Services,39479,43889820.495989755
assam,2021,3,Others,131732,67715045.34317216
assam,2021,4,Peer-to-peer payments,21393962,86801625126.53499
assam,2021,4,Merchant payments,12895755,13378765005.905182
assam,2021,4,Recharge & bill payments,11484376,3842004488.3733196
assam,2021,4,Financial Services,60724,65456475.826191336
assam,2021,4,Others,185544,97116796.57575196
assam,2022,1,Peer-to-peer payments,27156085,108855352347.44865
assam,2022,1,Merchant payments,19011883,18833132506.022354
assam,2022,1,Recharge & bill payments,12474674,4424035840.366192
assam,2022,1,Financial Services,68432,73257991.39188361
assam,2022,1,Others,178812,94659207.47378007
assam,2022,2,Peer-to-peer payments,33879530,123829913105.31845
assam,2022,2,Merchant payments,28377534,24333260089.826862
assam,2022,2,Recharge & bill payments,13858113,4814695679.877083
assam,2022,2,Financial Services,50785,55549153.74320389
assam,2022,2,Others,168763,77624058.0178437
assam,2022,3,Peer-to-peer payments,37000266,127264703851.96637
assam,2022,3,Merchant payments,34935460,28789992307.161205
assam,2022,3,Recharge & bill payments,13974568,5295136932.037907
assam,2022,3,Financial Services,65066,62882386.459812224
assam,2022,3,Others,138451,76363577.27323309
assam,2022,4,Peer-to-peer payments,44828832,150693397669.18314
assam,2022,4,Merchant payments,43605784,36033810141.574844
assam,2022,4,Recharge & bill payments,15344794,5773980885.270762
assam,2022,4,Financial Services,74414,75960367.91633397
assam,2022,4,Others,127443,76370123.60102956
bihar,2018,1,Recharge & bill payments,3159922,375559206.7727593
bihar,2018,1,Peer-to-peer payments,2052089,5295346761.45083
bihar,2018,1,Financial Services,194295,33999413.87739952
bihar,2018,1,Merchant payments,138885,139827755.73655012
bihar,2018,1,Others,279111,201025034.17960182
bihar,2018,2,Recharge & bill payments,4346849,700649777.0602969
bihar,2018,2,Peer-to-peer payments,3447898,12141448845.077621
bihar,2018,2,Merchant payments,311487,318571872.8216527
bihar,2018,2,Financial Services,267433,45332532.096432865
bihar,2018,2,Others,258711,300128082.6160458
bihar,2018,3,Peer-to-peer payments,8893764,18695889187.89432
bihar,2018,3,Recharge & bill payments,4401439,804061398.5166465
bihar,2018,3,Merchant payments,586862,367608510.7261781
bihar,2018,3,Financial Services,274510,33276460.45213346
bihar,2018,3,Others,211229,234968821.31206354
bihar,2018,4,Peer-to-peer payments,8094296,26224303882.80399
bihar,2018,4,Recharge & bill payments,5469096,986310785.0093702
bihar,2018,4,Merchant payments,1680664,848968693.0665624
bihar,2018,4,Financial Services,237247,36199427.51318769
bihar,2018,4,Others,251098,302214380.18458414
bihar,2019,1,Peer-to-peer payments,16807040,38824078062.32093
bihar,2019,1,Recharge & bill payments,7036367,1333688182.5386746
bihar,2019,1,Merchant payments,2055267,1024996999.5279309
bihar,2019,1,Financial Services,204689,28599535.734409343
bihar,2019,1,Others,252871,291464734.4043106
bihar,2019,2,Peer-to-peer payments,15837449,58381285240.80835
bihar,2019,2,Recharge & bill payments,9279442,1996804238.2749753
bihar,2019,2,Merchant payments,4365465,2308145849.844257
bihar,2019,2,Financial Services,129603,63338108.53755434
