State,Year,Quarter,Brand_Type,Transaction_Count,Transaction_Percentage
andaman-&-nicobar-islands,2018,1,Xiaomi,1665,0.2470326409495549
andaman-&-nicobar-islands,2018,1,Samsung,1445,0.21439169139465875
andaman-&-nicobar-islands,2018,1,Vivo,982,0.1456973293768546
andaman-&-nicobar-islands,2018,1,Oppo,501,0.07433234421364986
andaman-&-nicobar-islands,2018,1,OnePlus,332,0.04925816023738872
andaman-&-nicobar-islands,2018,1,Realme,316,0.04688427299703264
andaman-&-nicobar-islands,2018,1,Apple,229,0.03397626112759644
andaman-&-nicobar-islands,2018,1,Motorola,226,0.03353115727002967
andaman-&-nicobar-islands,2018,1,Lenovo,202,0.02997032640949555
andaman-&-nicobar-islands,2018,1,Huawei,158,0.02344213649851632
andaman-&-nicobar-islands,2018,1,Others,684,0.10148367952522255
andaman-&-nicobar-islands,2018,2,Xiaomi,2303,0.24486975013290802
andaman-&-nicobar-islands,2018,2,Samsung,1923,0.20446570972886763
andaman-&-nicobar-islands,2018,2,Vivo,1523,0.1619351408825093
andaman-&-nicobar-islands,2018,2,Oppo,708,0.07527910685805422
andaman-&-nicobar-islands,2018,2,OnePlus,466,0.049548112706007445
andaman-&-nicobar-islands,2018,2,Realme,465,0.049441786283891544
andaman-&-nicobar-islands,2018,2,Motorola,319,0.03391812865497076
andaman-&-nicobar-islands,2018,2,Apple,308,0.03274853801169591
andaman-&-nicobar-islands,2018,2,Lenovo,244,0.025943646996278574
andaman-&-nicobar-islands,2018,2,Huawei,230,0.024455077086656035
andaman-&-nicobar-islands,2018,2,Others,916,0.09739500265816055
andaman-&-nicobar-islands,2018,3,Xiaomi,2950,0.24281833895793892
andaman-&-nicobar-islands,2018,3,Samsung,2409,0.19828792493209318
andaman-&-nicobar-islands,2018,3,Vivo,2063,0.1698082146678739
andaman-&-nicobar-islands,2018,3,Oppo,988,0.08132356572557412
andaman-&-nicobar-islands,2018,3,OnePlus,617,0.05078607292781299
andaman-&-nicobar-islands,2018,3,Realme,603,0.04963371470902955
andaman-&-nicobar-islands,2018,3,Motorola,390,0.03210140752325294
andaman-&-nicobar-islands,2018,3,Apple,371,0.03053749279776113
andaman-&-nicobar-islands,2018,3,Huawei,314,0.0258457486212857
andaman-&-nicobar-islands,2018,3,Lenovo,299,0.024611079101160588
andaman-&-nicobar-islands,2018,3,Others,1145,0.09424644003621697
andaman-&-nicobar-islands,2018,4,Xiaomi,3719,0.24431743529102615
andaman-&-nicobar-islands,2018,4,Samsung,2936,0.19287872815661541
andaman-&-nicobar-islands,2018,4,Vivo,2742,0.1801340165549862
andaman-&-nicobar-islands,2018,4,Oppo,1268,0.08330048613848377
andaman-&-nicobar-islands,2018,4,Realme,760,0.04992773617133097
andaman-&-nicobar-islands,2018,4,OnePlus,721,0.0473656549730653
andaman-&-nicobar-islands,2018,4,Motorola,474,0.031139140717382736
andaman-&-nicobar-islands,2018,4,Apple,455,0.02989094731309946
andaman-&-nicobar-islands,2018,4,Huawei,398,0.02614636710024964
andaman-&-nicobar-islands,2018,4,Lenovo,377,0.024766784916568124
andaman-&-nicobar-islands,2018,4,Others,1372,0.09013270266719223
andaman-&-nicobar-islands,2019,1,Xiaomi,4576,0.24607442460744247
andaman-&-nicobar-islands,2019,1,Samsung,3567,0.19181544418154442
andaman-&-nicobar-islands,2019,1,Vivo,3420,0.18391051839105185
andaman-&-nicobar-islands,2019,1,Oppo,1600,0.08604000860400086
andaman-&-nicobar-islands,2019,1,Realme,897,0.04823617982361798
andaman-&-nicobar-islands,2019,1,OnePlus,855,0.04597762959776296
andaman-&-nicobar-islands,2019,1,Motorola,561,0.0301677780167778
andaman-&-nicobar-islands,2019,1,Apple,515,0.027694127769412775
andaman-&-nicobar-islands,2019,1,Huawei,515,0.027694127769412775
andaman-&-nicobar-islands,2019,1,Lenovo,426,0.02290815229081523
andaman-&-nicobar-islands,2019,1,Others,1664,0.0894816089481609
andaman-&-nicobar-islands,2019,2,Xiaomi,5296,0.24370714647278083
andaman-&-nicobar-islands,2019,2,Samsung,4165,0.19166168146886936
andaman-&-nicobar-islands,2019,2,Vivo,4102,0.18876259721135705
andaman-&-nicobar-islands,2019,2,Oppo,1905,0.08766278588191984
andaman-&-nicobar-islands,2019,2,Realme,1012,0.04656941696194377
andaman-&-nicobar-islands,2019,2,OnePlus,950,0.04371634991486816
andaman-&-nicobar-islands,2019,2,Huawei,644,0.029635083521236942
andaman-&-nicobar-islands,2019,2,Motorola,630,0.028990842575123098
andaman-&-nicobar-islands,2019,2,Apple,569,0.026183792738484195
andaman-&-nicobar-islands,2019,2,Lenovo,477,0.021950209378307488
andaman-&-nicobar-islands,2019,2,Others,1981,0.09116009387510929
andaman-&-nicobar-islands,2019,3,Xiaomi,5819,0.24315741088964105
andaman-&-nicobar-islands,2019,3,Vivo,4685,0.19577117546278885
andaman-&-nicobar-islands,2019,3,Samsung,4508,0.1883749112030421
andaman-&-nicobar-islands,2019,3,Oppo,2108,0.08808658225732313
andaman-&-nicobar-islands,2019,3,Realme,1158,0.04838911871630939
andaman-&-nicobar-islands,2019,3,OnePlus,1045,0.04366720989511512
andaman-&-nicobar-islands,2019,3,Huawei,725,0.030295432702352597
andaman-&-nicobar-islands,2019,3,Motorola,660,0.02757929046007271
andaman-&-nicobar-islands,2019,3,Apple,630,0.026325686348251224
andaman-&-nicobar-islands,2019,3,Lenovo,483,0.020183026200325936
andaman-&-nicobar-islands,2019,3,Others,2110,0.0881701558647779
andaman-&-nicobar-islands,2019,4,Xiaomi,6259,0.24110169491525424
andaman-&-nicobar-islands,2019,4,Vivo,5190,0.19992295839753466
andaman-&-nicobar-islands,2019,4,Samsung,4900,0.18875192604006163
andaman-&-nicobar-islands,2019,4,Oppo,2329,0.08971494607087828
andaman-&-nicobar-islands,2019,4,Realme,1329,0.051194144838212635
andaman-&-nicobar-islands,2019,4,OnePlus,1124,0.04329738058551618
andaman-&-nicobar-islands,2019,4,Huawei,798,0.03073959938366718
andaman-&-nicobar-islands,2019,4,Motorola,682,0.026271186440677965
andaman-&-nicobar-islands,2019,4,Apple,678,0.026117103235747303
andaman-&-nicobar-islands,2019,4,Lenovo,488,0.018798151001540832
andaman-&-nicobar-islands,2019,4,Others,2183,0.08409090909090909
andaman-&-nicobar-islands,2020,1,Xiaomi,6803,0.23981246474901297
andaman-&-nicobar-islands,2020,1,Vivo,5880,0.20727580372250423
andaman-&-nicobar-islands,2020,1,Samsung,5335,0.1880640157924422
andaman-&-nicobar-islands,2020,1,Oppo,2557,0.09013677382966723
andaman-&-nicobar-islands,2020,1,Realme,1511,0.05326424139875917
andaman-&-nicobar-islands,2020,1,OnePlus,1184,0.04173716864072194
andaman-&-nicobar-islands,2020,1,Huawei,891,0.03140862944162436
andaman-&-nicobar-islands,2020,1,Apple,735,0.02590947546531303
andaman-&-nicobar-islands,2020,1,Motorola,715,0.025204455724760294
andaman-&-nicobar-islands,2020,1,Lenovo,500,0.017625493513818386
andaman-&-nicobar-islands,2020,1,Others,2257,0.0795614777213762
andaman-&-nicobar-islands,2020,2,Xiaomi,7805,0.2386120452461021
andaman-&-nicobar-islands,2020,2,Vivo,7122,0.21773158055640476
andaman-&-nicobar-islands,2020,2,Samsung,6030,0.1843472944053806
andaman-&-nicobar-islands,2020,2,Oppo,2976,0.09098135126872516
andaman-&-nicobar-islands,2020,2,Realme,1761,0.053836747172118615
andaman-&-nicobar-islands,2020,2,OnePlus,1271,0.03885661877101804
andaman-&-nicobar-islands,2020,2,Huawei,1005,0.030724549067563438
andaman-&-nicobar-islands,2020,2,Apple,792,0.024212778966676857
andaman-&-nicobar-islands,2020,2,Motorola,779,0.023815346988688476
andaman-&-nicobar-islands,2020,2,Lenovo,552,0.01687557321919902
andaman-&-nicobar-islands,2020,2,Others,2617,0.0800061143381229
andaman-&-nicobar-islands,2020,3,Xiaomi,9794,0.2369420587879521
andaman-&-nicobar-islands,2020,3,Vivo,9556,0.23118422644248215
andaman-&-nicobar-islands,2020,3,Samsung,7572,0.18318616184831257
andaman-&-nicobar-islands,2020,3,Oppo,3730,0.09023829684286924
andaman-&-nicobar-islands,2020,3,Realme,2285,0.05528002903108745
andaman-&-nicobar-islands,2020,3,OnePlus,1440,0.03483730494738115
andaman-&-nicobar-islands,2020,3,Huawei,1213,0.029345590903592598
andaman-&-nicobar-islands,2020,3,Motorola,907,0.021942663602274103
andaman-&-nicobar-islands,2020,3,Apple,870,0.021047538405709446
andaman-&-nicobar-islands,2020,3,Lenovo,606,0.014660699165356235
andaman-&-nicobar-islands,2020,3,Others,3362,0.08133543002298295
andaman-&-nicobar-islands,2020,4,Xiaomi,12398,0.23662111611573403
andaman-&-nicobar-islands,2020,4,Vivo,12275,0.23427360867241775
andaman-&-nicobar-islands,2020,4,Samsung,9938,0.18967096724940835
andaman-&-nicobar-islands,2020,4,Oppo,4723,0.0901404687380716
andaman-&-nicobar-islands,2020,4,Realme,2996,0.05717993739980151
andaman-&-nicobar-islands,2020,4,OnePlus,1638,0.031261928391480266
andaman-&-nicobar-islands,2020,4,Huawei,1472,0.028093747614321703
andaman-&-nicobar-islands,2020,4,Motorola,1032,0.019696160012214674
andaman-&-nicobar-islands,2020,4,Apple,973,0.018570119856477593
andaman-&-nicobar-islands,2020,4,Lenovo,708,0.01351248186884495
andaman-&-nicobar-islands,2020,4,Others,4243,0.08097946408122758
andaman-&-nicobar-islands,2021,1,Vivo,13812,0.23913570414488036
andaman-&-nicobar-islands,2021,1,Xiaomi,13714,0.2374389694934035
andaman-&-nicobar-islands,2021,1,Samsung,10861,0.18804321479275599
andaman-&-nicobar-islands,2021,1,Oppo,5158,0.08930364624813879
andaman-&-nicobar-islands,2021,1,Realme,3419,0.05919526299387098
andaman-&-nicobar-islands,2021,1,OnePlus,1773,0.030697046296616917
andaman-&-nicobar-islands,2021,1,Huawei,1575,0.027268949755877972
andaman-&-nicobar-islands,2021,1,Motorola,1062,0.018387063263963433
andaman-&-nicobar-islands,2021,1,Apple,1056,0.018283181550607708
andaman-&-nicobar-islands,2021,1,Tecno,796,0.013781640638526264
